 TIME                    	Q                        	
  +7.7210000000000000E+03	  +3.6849740491660277E+03	
  +7.7220000000000000E+03	  +3.6849375961646733E+03	
  +7.7230000000000000E+03	  +3.6849011488098768E+03	
  +7.7240000000000000E+03	  +3.6848647070949191E+03	
  +7.7250000000000000E+03	  +3.6848282710192047E+03	
  +7.7260000000000000E+03	  +3.6847918405816508E+03	
  +7.7270000000000000E+03	  +3.6847554157733257E+03	
  +7.7280000000000000E+03	  +3.6847189966059700E+03	
  +7.7290000000000000E+03	  +3.6846825830711477E+03	
  +7.7300000000000000E+03	  +3.6846461751683469E+03	
  +7.7310000000000000E+03	  +3.6846097728953296E+03	
  +7.7320000000000000E+03	  +3.6845733762428385E+03	
  +7.7330000000000000E+03	  +3.6845369852257509E+03	
  +7.7340000000000000E+03	  +3.6845005998295596E+03	
  +7.7350000000000000E+03	  +3.6844642200608273E+03	
  +7.7360000000000000E+03	  +3.6844278459101970E+03	
  +7.7370000000000000E+03	  +3.6843914773852339E+03	
  +7.7380000000000000E+03	  +3.6843551144735843E+03	
  +7.7390000000000000E+03	  +3.6843187571839962E+03	
  +7.7400000000000000E+03	  +3.6842824055111159E+03	
  +7.7410000000000000E+03	  +3.6842460594476602E+03	
  +7.7420000000000000E+03	  +3.6842097190064542E+03	
  +7.7430000000000000E+03	  +3.6841733841668661E+03	
  +7.7440000000000000E+03	  +3.6841370549399721E+03	
  +7.7450000000000000E+03	  +3.6841007313302093E+03	
  +7.7460000000000000E+03	  +3.6840644133135652E+03	
  +7.7470000000000000E+03	  +3.6840281009155442E+03	
  +7.7480000000000000E+03	  +3.6839917941099029E+03	
  +7.7490000000000000E+03	  +3.6839554929134542E+03	
  +7.7500000000000000E+03	  +3.6839191973190573E+03	
  +7.7510000000000000E+03	  +3.6838829073261622E+03	
  +7.7520000000000000E+03	  +3.6838466229243099E+03	
  +7.7530000000000000E+03	  +3.6838103441246562E+03	
  +7.7540000000000000E+03	  +3.6837740709136460E+03	
  +7.7550000000000000E+03	  +3.6837378033046430E+03	
  +7.7560000000000000E+03	  +3.6837015412813521E+03	
  +7.7570000000000000E+03	  +3.6836652848552803E+03	
  +7.7580000000000000E+03	  +3.6836290340076703E+03	
  +7.7590000000000000E+03	  +3.6835927887578682E+03	
  +7.7600000000000000E+03	  +3.6835565490904169E+03	
  +7.7610000000000000E+03	  +3.6835203150049215E+03	
  +7.7620000000000000E+03	  +3.6834840865052252E+03	
  +7.7630000000000000E+03	  +3.6834478635859332E+03	
  +7.7640000000000000E+03	  +3.6834116462501875E+03	
  +7.7650000000000000E+03	  +3.6833754344880831E+03	
  +7.7660000000000000E+03	  +3.6833392283117919E+03	
  +7.7670000000000000E+03	  +3.6833030277005223E+03	
  +7.7680000000000000E+03	  +3.6832668326677622E+03	
  +7.7690000000000000E+03	  +3.6832306432115001E+03	
  +7.7700000000000000E+03	  +3.6831944593163107E+03	
  +7.7710000000000000E+03	  +3.6831582810032696E+03	
  +7.7720000000000000E+03	  +3.6831221082461561E+03	
  +7.7730000000000000E+03	  +3.6830859410658572E+03	
  +7.7740000000000000E+03	  +3.6830497794463436E+03	
  +7.7750000000000000E+03	  +3.6830136233875019E+03	
  +7.7760000000000000E+03	  +3.6829774728981783E+03	
  +7.7770000000000000E+03	  +3.6829413279620103E+03	
  +7.7780000000000000E+03	  +3.6829051885926219E+03	
  +7.7790000000000000E+03	  +3.6828690547734359E+03	
  +7.7800000000000000E+03	  +3.6828329265155080E+03	
  +7.7810000000000000E+03	  +3.6827968038137356E+03	
  +7.7820000000000000E+03	  +3.6827606866614929E+03	
  +7.7830000000000000E+03	  +3.6827245750606007E+03	
  +7.7840000000000000E+03	  +3.6826884690112711E+03	
  +7.7850000000000000E+03	  +3.6826523685146494E+03	
  +7.7860000000000000E+03	  +3.6826162735648631E+03	
  +7.7870000000000000E+03	  +3.6825801841513530E+03	
  +7.7880000000000000E+03	  +3.6825441002898015E+03	
  +7.7890000000000000E+03	  +3.6825080219709862E+03	
  +7.7900000000000000E+03	  +3.6824719491948658E+03	
  +7.7910000000000000E+03	  +3.6824358819553299E+03	
  +7.7920000000000000E+03	  +3.6823998202578009E+03	
  +7.7930000000000000E+03	  +3.6823637640985485E+03	
  +7.7940000000000000E+03	  +3.6823277134703903E+03	
  +7.7950000000000000E+03	  +3.6822916683802482E+03	
  +7.7960000000000000E+03	  +3.6822556288168335E+03	
  +7.7970000000000000E+03	  +3.6822195947854652E+03	
  +7.7980000000000000E+03	  +3.6821835662929193E+03	
  +7.7990000000000000E+03	  +3.6821475433200858E+03	
  +7.8000000000000000E+03	  +3.6821115258770656E+03	
  +7.8010000000000000E+03	  +3.6820755139527168E+03	
  +7.8020000000000000E+03	  +3.6820395075645879E+03	
  +7.8030000000000000E+03	  +3.6820035066906594E+03	
  +7.8040000000000000E+03	  +3.6819675113386807E+03	
  +7.8050000000000000E+03	  +3.6819315215011479E+03	
  +7.8060000000000000E+03	  +3.6818955371868738E+03	
  +7.8070000000000000E+03	  +3.6818595583894348E+03	
  +7.8080000000000000E+03	  +3.6818235851067998E+03	
  +7.8090000000000000E+03	  +3.6817876173374948E+03	
  +7.8100000000000000E+03	  +3.6817516550802497E+03	
  +7.8110000000000000E+03	  +3.6817156983342643E+03	
  +7.8120000000000000E+03	  +3.6816797471019527E+03	
  +7.8130000000000000E+03	  +3.6816438013650668E+03	
  +7.8140000000000000E+03	  +3.6816078611456205E+03	
  +7.8150000000000000E+03	  +3.6815719264227669E+03	
  +7.8160000000000000E+03	  +3.6815359972088531E+03	
  +7.8170000000000000E+03	  +3.6815000734998148E+03	
  +7.8180000000000000E+03	  +3.6814641552834328E+03	
  +7.8190000000000000E+03	  +3.6814282425679412E+03	
  +7.8200000000000000E+03	  +3.6813923353521445E+03	
  +7.8210000000000000E+03	  +3.6813564336303507E+03	
  +7.8220000000000000E+03	  +3.6813205374036179E+03	
  +7.8230000000000000E+03	  +3.6812846466710971E+03	
  +7.8240000000000000E+03	  +3.6812487614313659E+03	
  +7.8250000000000000E+03	  +3.6812128816787499E+03	
  +7.8260000000000000E+03	  +3.6811770074151477E+03	
  +7.8270000000000000E+03	  +3.6811411386366476E+03	
  +7.8280000000000000E+03	  +3.6811052753522204E+03	
  +7.8290000000000000E+03	  +3.6810694175401163E+03	
  +7.8300000000000000E+03	  +3.6810335652224371E+03	
  +7.8310000000000000E+03	  +3.6809977183784004E+03	
  +7.8320000000000000E+03	  +3.6809618770234229E+03	
  +7.8330000000000000E+03	  +3.6809260411339424E+03	
  +7.8340000000000000E+03	  +3.6808902107297749E+03	
  +7.8350000000000000E+03	  +3.6808543858010476E+03	
  +7.8360000000000000E+03	  +3.6808185663484760E+03	
  +7.8370000000000000E+03	  +3.6807827523615915E+03	
  +7.8380000000000000E+03	  +3.6807469438557964E+03	
  +7.8390000000000000E+03	  +3.6807111408105011E+03	
  +7.8400000000000000E+03	  +3.6806753432410051E+03	
  +7.8410000000000000E+03	  +3.6806395511339947E+03	
  +7.8420000000000000E+03	  +3.6806037644911103E+03	
  +7.8430000000000000E+03	  +3.6805679833138934E+03	
  +7.8440000000000000E+03	  +3.6805322076044044E+03	
